1,in_use,,,Opcode,prependage,appendage,Specific,variant,comments,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,,31:30:29:28:27:26:25:24:23:22:21:20:19:18:17:16:15:14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,,Binary,,NAME,//		Opcode                                                          	BINARY    	OPCODE    	comments,//		BINARY    	Opcode    	Opcode	comments
19,,,,BRK,,arm64,arm64,,AArch64 Specific BRK,,1,1,0,1,0,1,0,0,0,0,1,imm16,,,,,,,,,,,,,,,,0,0,0,0,0,,-:-:-:-:-:-:-:-:-:-:-:imm16::::::::::::::::-:-:-:-:-,,0xD4200000,,"brkarm64,                                               ","		brkarm64,                                               	/* 0xD4200000	BRK       	AArch64 Specific BRK */","		0xD4200000,	/* BRK       	brkarm64	AArch64 Specific BRK */"
20,//,,,HLT,,,,,,,1,1,0,1,0,1,0,0,0,1,0,imm16,,,,,,,,,,,,,,,,0,0,0,0,0,,-:-:-:-:-:-:-:-:-:-:-:imm16::::::::::::::::-:-:-:-:-,,0xD4400000,,"hlt,                                                    ","//		hlt,                                                    	/* 0xD4400000	HLT       	 */","//		0xD4400000,	/* HLT       	hlt	 */"
21,//,,,DCPS1,,,,,,,1,1,0,1,0,1,0,0,1,0,1,imm16,,,,,,,,,,,,,,,,0,0,0,0,1,,-:-:-:-:-:-:-:-:-:-:-:imm16::::::::::::::::-:-:-:-:-,,0xD4A00001,,"dcps1,                                                  ","//		dcps1,                                                  	/* 0xD4A00001	DCPS1     	 */","//		0xD4A00001,	/* DCPS1     	dcps1	 */"
22,//,,,DCPS2,,,,,,,1,1,0,1,0,1,0,0,1,0,1,imm16,,,,,,,,,,,,,,,,0,0,0,1,0,,-:-:-:-:-:-:-:-:-:-:-:imm16::::::::::::::::-:-:-:-:-,,0xD4A00002,,"dcps2,                                                  ","//		dcps2,                                                  	/* 0xD4A00002	DCPS2     	 */","//		0xD4A00002,	/* DCPS2     	dcps2	 */"
23,//,,,DCPS3,,,,,,,1,1,0,1,0,1,0,0,1,0,1,imm16,,,,,,,,,,,,,,,,0,0,0,1,1,,-:-:-:-:-:-:-:-:-:-:-:imm16::::::::::::::::-:-:-:-:-,,0xD4A00003,,"dcps3,                                                  ","//		dcps3,                                                  	/* 0xD4A00003	DCPS3     	 */","//		0xD4A00003,	/* DCPS3     	dcps3	 */"
24,//,,System,,,,,,,,1,1,0,1,0,1,0,1,0,0,-,-,-,op1,,,CRn,,,,CRm,,,,op2,,,Rt,,,,,,,,,,,	/* System */,	/* System */
25,//,,,MSR,,imm,imm,,,,1,1,0,1,0,1,0,1,0,0,0,0,0,op1,,,0,1,0,0,CR_m,,,,op2,,,1,1,1,1,1,,-:-:-:-:-:-:-:-:-:-:-:-:-:op1:::-:-:-:-:CR_m::::op2:::-:-:-:-:-,,0xD500401F,,"msrimm,                                                 ","//		msrimm,                                                 	/* 0xD500401F	MSR       	 */","//		0xD500401F,	/* MSR       	msrimm	 */"
26,//,,,HINT,,,,,,,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,CR_m,,,,op2,,,1,1,1,1,1,,-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:CR_m::::op2:::-:-:-:-:-,,0xD503201F,,"hint,                                                   ","//		hint,                                                   	/* 0xD503201F	HINT      	 */","//		0xD503201F,	/* HINT      	hint	 */"
27,//,,,CLREX,,,,,,,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,CR_m,,,,0,1,0,1,1,1,1,1,,-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:CR_m::::-:-:-:-:-:-:-:-,,0xD503305F,,"clrex,                                                  ","//		clrex,                                                  	/* 0xD503305F	CLREX     	 */","//		0xD503305F,	/* CLREX     	clrex	 */"
28,//,,,DSB,,,,,,,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,CR_m,,,,1,0,0,1,1,1,1,1,,-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:CR_m::::-:-:-:-:-:-:-:-,,0xD503309F,,"dsb,                                                    ","//		dsb,                                                    	/* 0xD503309F	DSB       	 */","//		0xD503309F,	/* DSB       	dsb	 */"
29,//,,,DMB,,,,,,,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,CR_m,,,,1,0,1,1,1,1,1,1,,-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:CR_m::::-:-:-:-:-:-:-:-,,0xD50330BF,,"dmb,                                                    ","//		dmb,                                                    	/* 0xD50330BF	DMB       	 */","//		0xD50330BF,	/* DMB       	dmb	 */"
30,//,,,ISB,,,,,,,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,CR_m,,,,1,1,0,1,1,1,1,1,,-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:CR_m::::-:-:-:-:-:-:-:-,,0xD50330DF,,"isb,                                                    ","//		isb,                                                    	/* 0xD50330DF	ISB       	 */","//		0xD50330DF,	/* ISB       	isb	 */"
31,//,,,SYS,,,,,,,1,1,0,1,0,1,0,1,0,0,0,0,1,op1,,,CR_n,,,,CR_m,,,,op2,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:-:-:op1:::CR_n::::CR_m::::op2:::Rt::::,,0xD5080000,,"sys,                                                    ","//		sys,                                                    	/* 0xD5080000	SYS       	 */","//		0xD5080000,	/* SYS       	sys	 */"
32,//,,,MSR,,,,,,,1,1,0,1,0,1,0,1,0,0,0,1,-,op1,,,CR_n,,,,CR_m,,,,op2,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:-:-:op1:::CR_n::::CR_m::::op2:::Rt::::,,0xD5100000,,"msr,                                                    ","//		msr,                                                    	/* 0xD5100000	MSR       	 */","//		0xD5100000,	/* MSR       	msr	 */"
33,//,,,SYSL,,,,,,,1,1,0,1,0,1,0,1,0,0,1,0,1,op1,,,CR_n,,,,CR_m,,,,op2,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:-:-:op1:::CR_n::::CR_m::::op2:::Rt::::,,0xD5280000,,"sysl,                                                   ","//		sysl,                                                   	/* 0xD5280000	SYSL      	 */","//		0xD5280000,	/* SYSL      	sysl	 */"
34,//,,,MRS,,,,,,,1,1,0,1,0,1,0,1,0,0,1,1,-,op1,,,CR_n,,,,CR_m,,,,op2,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:-:-:op1:::CR_n::::CR_m::::op2:::Rt::::,,0xD5300000,,"mrs,                                                    ","//		mrs,                                                    	/* 0xD5300000	MRS       	 */","//		0xD5300000,	/* MRS       	mrs	 */"
35,,,Unconditional branch (register),,,,,,,,1,1,0,1,0,1,1,opc,,,,op2,,,,,op3,,,,,,Rn,,,,,op4,,,,,,,,,,,	/* Unconditional branch (register) */,	/* Unconditional branch (register) */
36,,,,BR,,,,,,,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,Rn,,,,,0,0,0,0,0,,-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:Rn:::::-:-:-:-:-,,0xD61F0000,,"br,                                                     ","		br,                                                     	/* 0xD61F0000	BR        	 */","		0xD61F0000,	/* BR        	br	 */"
37,,,,BLR,,,,,,,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,Rn,,,,,0,0,0,0,0,,-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:Rn:::::-:-:-:-:-,,0xD63F0000,,"blr,                                                    ","		blr,                                                    	/* 0xD63F0000	BLR       	 */","		0xD63F0000,	/* BLR       	blr	 */"
38,,,,RET,,,,,,,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,Rn,,,,,0,0,0,0,0,,-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:Rn:::::-:-:-:-:-,,0xD65F0000,,"ret,                                                    ","		ret,                                                    	/* 0xD65F0000	RET       	 */","		0xD65F0000,	/* RET       	ret	 */"
39,//,,,ERET,,,,,,,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,,-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-,,0xD69F03E0,,"eret,                                                   ","//		eret,                                                   	/* 0xD69F03E0	ERET      	 */","//		0xD69F03E0,	/* ERET      	eret	 */"
40,//,,,DRPS,,,,,,,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,,-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-,,0xD6BF03E0,,"drps,                                                   ","//		drps,                                                   	/* 0xD6BF03E0	DRPS      	 */","//		0xD6BF03E0,	/* DRPS      	drps	 */"
41,//,,Unconditional branch (immediate),,,,,,,,-,0,0,1,0,1,imm26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,	/* Unconditional branch (immediate) */,	/* Unconditional branch (immediate) */
42,,,,B,,,,,,,0,0,0,1,0,1,imm26,,,,,,,,,,,,,,,,,,,,,,,,,,,-:-:-:-:-:-:imm26:::::::::::::::::::::::::,,0x14000000,,"b,                                                      ","		b,                                                      	/* 0x14000000	B         	 */","		0x14000000,	/* B         	b	 */"
43,,,,BL,,,,,,,1,0,0,1,0,1,imm26,,,,,,,,,,,,,,,,,,,,,,,,,,,-:-:-:-:-:-:imm26:::::::::::::::::::::::::,,0x94000000,,"bl,                                                     ","		bl,                                                     	/* 0x94000000	BL        	 */","		0x94000000,	/* BL        	bl	 */"
44,,Loads and stores,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/* Loads and stores */,/* Loads and stores */
45,,,Load/store exclusive,,,,,,,,-,-,0,0,1,0,0,0,-,-,-,Rs,,,,,-,Rt2,,,,,Rn,,,,,Rt,,,,,,,,,,,	/* Load/store exclusive */,	/* Load/store exclusive */
46,,,,STXRB,,,,,,,0,0,0,0,1,0,0,0,0,0,0,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x08000000,,"stxrb,                                                  ","		stxrb,                                                  	/* 0x08000000	STXRB     	 */","		0x08000000,	/* STXRB     	stxrb	 */"
47,,,,STLXRB,,,,,,,0,0,0,0,1,0,0,0,0,0,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x08008000,,"stlxrb,                                                 ","		stlxrb,                                                 	/* 0x08008000	STLXRB    	 */","		0x08008000,	/* STLXRB    	stlxrb	 */"
48,,,,LDXRB,,,,,,,0,0,0,0,1,0,0,0,0,1,0,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x08400000,,"ldxrb,                                                  ","		ldxrb,                                                  	/* 0x08400000	LDXRB     	 */","		0x08400000,	/* LDXRB     	ldxrb	 */"
49,,,,LDAXRB,,,,,,,0,0,0,0,1,0,0,0,0,1,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x08408000,,"ldaxrb,                                                 ","		ldaxrb,                                                 	/* 0x08408000	LDAXRB    	 */","		0x08408000,	/* LDAXRB    	ldaxrb	 */"
50,,,,STLRB,,,,,,,0,0,0,0,1,0,0,0,1,0,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x08808000,,"stlrb,                                                  ","		stlrb,                                                  	/* 0x08808000	STLRB     	 */","		0x08808000,	/* STLRB     	stlrb	 */"
51,,,,LDARB,,,,,,,0,0,0,0,1,0,0,0,1,1,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x08C08000,,"ldarb,                                                  ","		ldarb,                                                  	/* 0x08C08000	LDARB     	 */","		0x08C08000,	/* LDARB     	ldarb	 */"
52,,,,STXRH,,,,,,,0,1,0,0,1,0,0,0,0,0,0,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x48000000,,"stxrh,                                                  ","		stxrh,                                                  	/* 0x48000000	STXRH     	 */","		0x48000000,	/* STXRH     	stxrh	 */"
53,,,,STLXRH,,,,,,,0,1,0,0,1,0,0,0,0,0,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x48008000,,"stlxrh,                                                 ","		stlxrh,                                                 	/* 0x48008000	STLXRH    	 */","		0x48008000,	/* STLXRH    	stlxrh	 */"
54,,,,LDXRH,,,,,,,0,1,0,0,1,0,0,0,0,1,0,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x48400000,,"ldxrh,                                                  ","		ldxrh,                                                  	/* 0x48400000	LDXRH     	 */","		0x48400000,	/* LDXRH     	ldxrh	 */"
55,,,,LDAXRH,,,,,,,0,1,0,0,1,0,0,0,0,1,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x48408000,,"ldaxrh,                                                 ","		ldaxrh,                                                 	/* 0x48408000	LDAXRH    	 */","		0x48408000,	/* LDAXRH    	ldaxrh	 */"
56,,,,STLRH,,,,,,,0,1,0,0,1,0,0,0,1,0,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x48808000,,"stlrh,                                                  ","		stlrh,                                                  	/* 0x48808000	STLRH     	 */","		0x48808000,	/* STLRH     	stlrh	 */"
57,,,,LDARH,,,,,,,0,1,0,0,1,0,0,0,1,1,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x48C08000,,"ldarh,                                                  ","		ldarh,                                                  	/* 0x48C08000	LDARH     	 */","		0x48C08000,	/* LDARH     	ldarh	 */"
58,,,,STXR,,w,,W,,,1,0,0,0,1,0,0,0,0,0,0,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x88000000,,"stxrw,                                                  ","		stxrw,                                                  	/* 0x88000000	STXR      	 */","		0x88000000,	/* STXR      	stxrw	 */"
59,,,,STLXR,,w,,W,,,1,0,0,0,1,0,0,0,0,0,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x88008000,,"stlxrw,                                                 ","		stlxrw,                                                 	/* 0x88008000	STLXR     	 */","		0x88008000,	/* STLXR     	stlxrw	 */"
60,,,,STXP,,w,,W,,,1,0,0,0,1,0,0,0,0,0,1,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x88200000,,"stxpw,                                                  ","		stxpw,                                                  	/* 0x88200000	STXP      	 */","		0x88200000,	/* STXP      	stxpw	 */"
61,,,,STLXP,,w,,W,,,1,0,0,0,1,0,0,0,0,0,1,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x88208000,,"stlxpw,                                                 ","		stlxpw,                                                 	/* 0x88208000	STLXP     	 */","		0x88208000,	/* STLXP     	stlxpw	 */"
62,,,,LDXR,,w,,W,,,1,0,0,0,1,0,0,0,0,1,0,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x88400000,,"ldxrw,                                                  ","		ldxrw,                                                  	/* 0x88400000	LDXR      	 */","		0x88400000,	/* LDXR      	ldxrw	 */"
63,,,,LDAXR,,w,,W,,,1,0,0,0,1,0,0,0,0,1,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x88408000,,"ldaxrw,                                                 ","		ldaxrw,                                                 	/* 0x88408000	LDAXR     	 */","		0x88408000,	/* LDAXR     	ldaxrw	 */"
64,,,,LDXP,,w,,W,,,1,0,0,0,1,0,0,0,0,1,1,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x88600000,,"ldxpw,                                                  ","		ldxpw,                                                  	/* 0x88600000	LDXP      	 */","		0x88600000,	/* LDXP      	ldxpw	 */"
65,,,,LDAXP,,w,,W,,,1,0,0,0,1,0,0,0,0,1,1,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x88608000,,"ldaxpw,                                                 ","		ldaxpw,                                                 	/* 0x88608000	LDAXP     	 */","		0x88608000,	/* LDAXP     	ldaxpw	 */"
66,,,,STLR,,w,,W,,,1,0,0,0,1,0,0,0,1,0,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x88808000,,"stlrw,                                                  ","		stlrw,                                                  	/* 0x88808000	STLR      	 */","		0x88808000,	/* STLR      	stlrw	 */"
67,,,,LDAR,,w,,W,,,1,0,0,0,1,0,0,0,1,1,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x88C08000,,"ldarw,                                                  ","		ldarw,                                                  	/* 0x88C08000	LDAR      	 */","		0x88C08000,	/* LDAR      	ldarw	 */"
68,,,,STXR,,x,,X,,,1,1,0,0,1,0,0,0,0,0,0,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0xC8000000,,"stxrx,                                                  ","		stxrx,                                                  	/* 0xC8000000	STXR      	 */","		0xC8000000,	/* STXR      	stxrx	 */"
69,,,,STLXR,,x,,X,,,1,1,0,0,1,0,0,0,0,0,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0xC8008000,,"stlxrx,                                                 ","		stlxrx,                                                 	/* 0xC8008000	STLXR     	 */","		0xC8008000,	/* STLXR     	stlxrx	 */"
70,,,,STXP,,x,,X,,,1,1,0,0,1,0,0,0,0,0,1,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0xC8200000,,"stxpx,                                                  ","		stxpx,                                                  	/* 0xC8200000	STXP      	 */","		0xC8200000,	/* STXP      	stxpx	 */"
71,,,,STLXP,,x,,X,,,1,1,0,0,1,0,0,0,0,0,1,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0xC8208000,,"stlxpx,                                                 ","		stlxpx,                                                 	/* 0xC8208000	STLXP     	 */","		0xC8208000,	/* STLXP     	stlxpx	 */"
72,,,,LDXR,,x,,X,,,1,1,0,0,1,0,0,0,0,1,0,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0xC8400000,,"ldxrx,                                                  ","		ldxrx,                                                  	/* 0xC8400000	LDXR      	 */","		0xC8400000,	/* LDXR      	ldxrx	 */"
73,,,,LDAXR,,x,,X,,,1,1,0,0,1,0,0,0,0,1,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0xC8408000,,"ldaxrx,                                                 ","		ldaxrx,                                                 	/* 0xC8408000	LDAXR     	 */","		0xC8408000,	/* LDAXR     	ldaxrx	 */"
74,,,,LDXP,,x,,X,,,1,1,0,0,1,0,0,0,0,1,1,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0xC8600000,,"ldxpx,                                                  ","		ldxpx,                                                  	/* 0xC8600000	LDXP      	 */","		0xC8600000,	/* LDXP      	ldxpx	 */"
